data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2018-04-20,23.43,24.43,47.630001
2018-04-23,23.450001,24.35,47.5
2018-04-24,23.309999,24.27,48.310001
2018-04-25,23.17,23.5,47.950001
2018-04-26,23.309999,24.450001,48.700001
2018-04-27,23.18,24.52,48.349998
2018-04-30,23.33,24.629999,48.669998
2018-05-02,22.67,24.57,48.709999
2018-05-03,22.6,24.309999,49.09
2018-05-04,22.5,23.889999,49.700001
2018-05-07,22.34,24.74,49.240002
2018-05-08,22.440001,24.74,49.189999
2018-05-09,21.91,27.219999,50.25
2018-05-10,21.799999,28.84,51.400002
2018-05-11,21.85,28.950001,52.630001
2018-05-14,21.709999,30.15,54.27
2018-05-15,21.459999,30.91,54.650002
2018-05-16,21.51,31.629999,55.900002
2018-05-17,21.09,30.209999,55.380001
2018-05-18,20.629999,30.15,54.77
2018-05-21,20.299999,29.139999,53
2018-05-22,20.15,28.42,52.34
2018-05-23,20.049999,27.15,51.939999
2018-05-24,20.33,23.200001,52.459999
2018-05-25,20.16,23.030001,51.48
2018-05-28,19.76,19.790001,51.07
2018-05-29,19.59,22.24,50.16
2018-05-30,19.690001,22.190001,50.630001
2018-06-01,19.940001,18.879999,52.759998
2018-06-04,20.040001,19.98,52.52
2018-06-05,19.76,19.379999,53.73
2018-06-06,19.530001,19.27,56.07
2018-06-07,19.08,18.92,54.369999
2018-06-08,18.959999,18,50.889999
2018-06-11,18.99,18.389999,50.849998
2018-06-12,18.879999,18.24,51.700001
2018-06-13,18.709999,17.99,51.549999
2018-06-14,18.93,17.98,51.709999
2018-06-15,18.719999,17.799999,49.130001
2018-06-18,18.540001,17.209999,49.209999
2018-06-19,18.799999,17.85,48.299999
2018-06-20,18.540001,18.58,48.810001
2018-06-21,18.129999,17.65,47.209999
2018-06-22,18.16,17.76,48.009998
2018-06-25,18.219999,18.09,47.16
2018-06-26,18.09,18.52,48.34
2018-06-27,17.950001,19.02,48.150002
2018-06-28,18.01,18.91,49.07
2018-06-29,17.98,19.42,49.59
2018-07-02,18.139999,19.68,48.759998
2018-07-03,18.09,19.75,47.959999
2018-07-04,18.1,20.709999,48.029999
2018-07-05,18.4,20.09,49.700001
2018-07-06,18.09,20.219999,50.34
2018-07-10,18.190001,20.190001,49.529999
2018-07-11,17.91,20.02,48.860001
2018-07-12,18.24,20.6,50.450001
2018-07-13,18.440001,20.58,50.310001
2018-07-16,18.950001,20.379999,50
2018-07-17,19.17,21.059999,50.700001
2018-07-18,18.76,20.65,51.450001
